date,lake_id,lake_area_km2
2025-11-17,L1,1.9637179119018853
2025-11-24,L1,2.0165183575125227
2025-12-01,L1,2.06931880312316
2025-12-08,L1,1.9813048558937822
2025-12-15,L1,1.699676070213752
2025-12-22,L1,1.6120984624599581
2025-12-29,L1,1.9121868710830539
2026-01-05,L1,2.3697886388687683
2026-01-12,L1,2.478709901951285
2026-01-19,L1,2.238950660330604
2026-01-26,L1,1.7647151351076313
2026-02-02,L1,1.1745311737712933
2026-02-09,L1,0.6221232101061104
2026-02-16,L1,0.27178258740945954
2026-02-23,L1,0.12350930568134084
2026-03-02,L1,0.07153401776536432
2026-03-09,L1,0.052868854697423195
2026-03-16,L1,0.06751381647751752
2026-03-23,L1,0.06751381647751752
2026-03-30,L1,0.06751381647751752
2026-04-06,L1,0.06751381647751752
2025-11-17,L2,3.364776543697671
2025-11-24,L2,3.3237805771285784
2025-12-01,L2,3.2827846105594856
2025-12-08,L2,3.4784758946434025
2025-12-15,L2,3.95185039594942
2025-12-22,L2,4.205976462983315
2025-12-29,L2,3.9631708785229858
2026-01-05,L2,3.752493875499756
2026-01-12,L2,4.07087710540785
2026-01-19,L2,4.249761686996797
2026-01-26,L2,3.760087387335273
2026-02-02,L2,2.662007739273775
2026-02-09,L2,1.6240816240627745
2026-02-16,L2,1.0038085174984135
2026-02-23,L2,0.7410348867301947
2026-03-02,L2,0.7677372263298041
2026-03-09,L2,0.7264160605010992
2026-03-16,L2,0.5839389212042496
2026-03-23,L2,0.4083293138675695
2026-03-30,L2,0.28637274820391395
2026-04-06,L2,0.23399687433242855
2025-11-17,L3,0.45126505305008235
2025-11-24,L3,0.6053992228916991
2025-12-01,L3,0.7595333927333159
2025-12-08,L3,0.998100605611325
2025-12-15,L3,1.1576884415799809
2025-12-22,L3,1.1450031325724783
2025-12-29,L3,1.0842902862170003
2026-01-05,L3,0.9848281526176752
2026-01-12,L3,0.8997283643913369
2026-01-19,L3,0.7640423270609538
2026-01-26,L3,0.5891265274375915
2026-02-02,L3,0.41516310097122194
2026-02-09,L3,0.3045823722750346
2026-02-16,L3,0.22913883577558727
2026-02-23,L3,0.18883249147288006
2026-03-02,L3,0.13163712840779623
2026-03-09,L3,0.09741893268564013
2026-03-16,L3,0.08617790430641174
2026-03-23,L3,0.09791404327011109
2026-03-30,L3,0.10965018223381041
2026-04-06,L3,0.11747427487627665
2025-11-17,L4,3.032992810432266
2025-11-24,L4,3.4047978613626615
2025-12-01,L4,3.7766029122930562
2025-12-08,L4,4.2522876911858924
2025-12-15,L4,4.4600471471107745
2025-12-22,L4,4.069744291207657
2025-12-29,L4,3.349304446444495
2026-01-05,L4,2.7685602177866424
2026-01-12,L4,2.6576485940941432
2026-01-19,L4,2.567404126242568
2026-01-26,L4,2.027994209266563
2026-02-02,L4,1.2914251741714444
2026-02-09,L4,0.7743263184007833
2026-02-16,L4,0.47669764195457914
2026-02-23,L4,0.23476613002845914
2026-03-02,L4,0.0810679343032837
2026-03-09,L4,0.03742468128712972
2026-03-16,L4,0.015603054779052734
2026-03-23,L4,0.015603054779052734
2026-03-30,L4,0.015603054779052734
2026-04-06,L4,0.015603054779052734
